Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,Temp_celsius,Weather,Wind_kmph,Humidity_percent,Laundry_count,Day,Hour
20/10/2015,11:27:57,3,1,1,53.0,1,0,0,6,1,9,0,0,0,1,2,2,0,15.0,3.0,19.0,2.934433738,101.7258593,1.0,30.0,0,7.0,75.0,1,5,11
20/10/2015,11:28:43,3,0,0,38.0,1,4,0,9,0,9,1,4,0,0,0,0,0,16.0,2.0,14.0,2.967766774,101.6855821,1.0,30.0,0,7.0,75.0,5,5,11
20/10/2015,13:36:46,0,0,2,29.0,0,1,1,9,0,3,1,1,0,1,0,0,1,54.0,3.0,10.0,2.951222745,101.7235245,3.0,30.0,0,9.0,75.0,1,5,13
20/10/2015,12:10:46,0,0,1,44.0,0,1,0,9,0,10,1,0,0,1,2,0,0,30.0,3.0,20.0,2.939402932,101.6633933,1.0,30.0,0,11.0,75.0,4,5,12
20/10/2015,13:44:03,0,0,1,42.0,0,1,1,5,0,0,1,0,0,1,0,1,0,22.0,2.0,13.0,2.947776713,101.6978995,3.0,30.0,0,9.0,75.0,3,5,13
20/10/2015,13:47:46,0,1,2,41.0,0,1,0,9,0,0,1,6,0,1,3,2,0,50.0,3.0,18.0,2.9662059,101.6346878,1.0,30.0,0,9.0,75.0,2,5,13
20/10/2015,14:39:57,3,1,2,36.0,1,4,0,8,0,5,1,13,1,0,2,2,1,20.0,0.0,13.0,2.966805235,101.691886,3.0,31.0,0,11.0,70.0,1,5,14
20/10/2015,14:54:19,2,1,0,53.0,0,1,0,9,0,0,1,5,0,1,1,3,0,60.0,3.0,19.0,2.904241872,101.6693722,2.0,31.0,0,11.0,70.0,1,5,14
20/10/2015,14:54:19,2,1,2,42.0,0,1,0,1,0,0,1,5,0,1,3,2,0,34.0,3.0,12.0,2.953809463,101.6864277,2.0,31.0,0,11.0,70.0,3,5,14
20/10/2015,15:26:05,3,0,0,32.0,0,1,0,7,0,10,1,0,0,1,0,0,0,58.0,0.0,10.0,2.971703373,101.6786169,2.0,30.0,0,7.0,75.0,0,5,15
20/10/2015,15:45:51,0,1,2,40.0,1,2,0,8,0,10,1,13,1,1,2,2,1,54.0,2.0,18.0,2.925992147,101.7259705,2.0,30.0,0,7.0,75.0,1,5,15
20/10/2015,15:52:41,1,1,1,39.0,0,1,0,1,0,0,1,0,0,1,0,1,0,43.0,5.0,17.0,2.94146915,101.7094355,2.0,30.0,0,7.0,75.0,1,5,15
20/10/2015,16:01:30,3,0,0,55.0,0,1,0,7,0,8,0,0,0,1,0,0,0,58.0,2.0,11.0,2.959500865,101.7081422,2.0,30.0,0,7.0,79.0,1,5,16
20/10/2015,16:34:06,0,1,2,46.0,0,1,0,8,0,8,1,0,0,1,1,0,0,56.0,1.0,15.0,2.932691012,101.6432777,2.0,30.0,0,7.0,79.0,1,5,16
20/10/2015,18:14:37,3,0,2,46.0,0,1,1,9,0,10,1,8,0,1,3,3,0,16.0,1.0,20.0,2.943731299,101.7349606,1.0,30.0,0,6.0,79.0,2,5,18
20/10/2015,18:34:26,3,1,0,35.0,0,1,0,1,1,10,1,6,0,1,1,0,1,41.0,1.0,17.0,2.932445148,101.7365378,2.0,30.0,0,6.0,79.0,1,5,18
20/10/2015,18:37:46,0,0,2,35.0,0,1,1,3,0,5,1,8,1,1,2,2,0,31.0,3.0,9.0,2.938365035,101.7021395,2.0,30.0,0,6.0,79.0,3,5,18
20/10/2015,18:48:34,3,0,1,41.0,0,1,0,8,1,6,0,0,0,1,2,3,0,38.0,5.0,9.0,2.961409415,101.6954655,3.0,30.0,0,6.0,79.0,0,5,18
20/10/2015,18:57:46,3,0,0,31.0,0,1,0,8,2,4,0,7,0,1,1,2,1,51.0,4.0,18.0,2.909508314,101.7448743,2.0,30.0,0,6.0,79.0,0,5,18
20/10/2015,18:57:46,3,0,0,34.0,0,1,0,8,2,3,0,6,0,1,2,2,0,23.0,1.0,18.0,2.920341513,101.7127793,3.0,30.0,0,6.0,79.0,1,5,18
20/10/2015,20:09:18,3,0,0,36.0,0,1,0,1,0,5,0,0,0,1,1,1,0,37.0,5.0,12.0,2.938475943,101.6852813,1.0,29.0,0,0.0,84.0,0,5,20
20/10/2015,20:21:03,3,0,1,33.0,0,1,0,9,0,0,1,5,0,1,1,3,1,15.0,0.0,14.0,2.920208022,101.7141611,1.0,29.0,0,0.0,84.0,1,5,20
20/10/2015,20:21:03,3,0,0,51.0,0,1,0,1,0,2,1,12,0,1,3,2,0,60.0,2.0,18.0,2.911034456,101.7459985,2.0,29.0,0,0.0,84.0,0,5,20
20/10/2015,20:21:03,1,0,1,46.0,0,1,0,9,1,5,0,0,0,0,0,0,0,53.0,2.0,11.0,2.962275698,101.6918951,1.0,29.0,0,0.0,84.0,1,5,20
20/10/2015,20:32:37,3,0,1,51.0,0,1,0,9,0,9,0,12,0,1,3,1,0,35.0,5.0,21.0,2.932841078,101.6624616,2.0,29.0,0,0.0,84.0,3,5,20
20/10/2015,20:44:46,2,1,0,53.0,0,1,0,9,0,9,1,0,1,1,2,0,0,50.0,5.0,14.0,2.938229596,101.7328228,1.0,29.0,0,0.0,84.0,1,5,20
20/10/2015,20:48:32,3,0,0,28.0,0,1,0,1,0,2,0,6,0,1,0,2,1,39.0,2.0,11.0,2.922380929,101.687864,1.0,27.0,0,9.0,84.0,2,5,20
20/10/2015,21:39:30,2,1,1,49.0,0,1,0,8,0,10,1,0,1,1,1,1,0,31.0,3.0,14.0,2.919551168,101.668476,3.0,28.0,0,0.0,89.0,3,5,21
20/10/2015,21:44:10,2,1,0,48.0,0,1,0,8,0,0,1,2,1,1,2,3,0,32.0,5.0,11.0,2.916453312,101.7460087,2.0,28.0,0,0.0,89.0,0,5,21
20/10/2015,21:05:59,3,0,0,53.0,1,2,0,5,0,0,1,0,0,0,2,2,0,24.0,1.0,16.0,2.943119223,101.7154266,2.0,28.0,0,0.0,89.0,1,5,21
20/10/2015,22:04:52,2,0,0,42.0,0,1,0,9,2,9,1,0,0,1,2,0,0,55.0,4.0,15.0,2.91001756,101.6719134,3.0,28.0,0,2.0,89.0,3,5,22
20/10/2015,22:04:52,1,1,1,54.0,0,1,0,9,0,10,1,0,0,1,0,2,0,20.0,4.0,16.0,2.965581773,101.6384887,3.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:10:28,1,1,1,38.0,0,1,0,9,0,10,1,0,0,1,0,1,0,40.0,5.0,14.0,2.914720246,101.7026826,1.0,28.0,0,2.0,89.0,0,5,22
20/10/2015,22:12:39,0,0,2,39.0,0,1,0,1,0,2,0,14,1,1,3,0,0,15.0,2.0,13.0,2.94670685,101.727935,3.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:18:01,3,0,2,53.0,1,4,0,9,1,3,0,2,0,1,3,1,0,43.0,4.0,16.0,2.968579156,101.6453175,3.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:20:42,3,1,2,29.0,1,2,0,0,0,10,1,5,0,1,0,3,0,31.0,0.0,18.0,2.921287496,101.6791926,1.0,28.0,0,2.0,89.0,2,5,22
20/10/2015,22:24:54,2,1,0,43.0,0,1,0,1,0,10,1,0,0,1,3,3,0,36.0,0.0,11.0,2.903208575,101.6367534,3.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:24:54,2,0,0,29.0,1,4,1,9,0,3,1,2,0,1,2,1,0,56.0,4.0,21.0,2.918987501,101.6855577,1.0,28.0,0,2.0,89.0,2,5,22
20/10/2015,22:37:12,3,0,2,50.0,1,2,0,0,0,5,1,8,0,1,0,1,0,44.0,0.0,14.0,2.920738346,101.7324981,1.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:52:52,3,0,2,51.0,0,1,1,0,0,0,1,8,0,1,0,2,0,33.0,5.0,15.0,2.92582691,101.7381869,2.0,28.0,0,2.0,89.0,1,5,22
20/10/2015,22:54:56,3,1,2,28.0,1,2,0,9,0,10,1,5,0,1,1,3,0,60.0,3.0,16.0,2.97132764,101.6818507,2.0,28.0,0,2.0,89.0,6,5,22
20/10/2015,22:59:55,2,0,1,55.0,0,0,0,9,0,2,1,6,1,1,0,2,0,60.0,5.0,14.0,2.919032094,101.6630788,1.0,28.0,0,2.0,89.0,3,5,22
20/10/2015,23:08:44,2,1,2,33.0,0,1,1,9,0,10,1,0,0,1,2,3,0,27.0,0.0,8.0,2.957446652,101.6609054,3.0,27.0,0,2.0,89.0,1,5,23
20/10/2015,23:08:44,2,1,1,49.0,0,1,1,9,1,2,0,0,0,1,3,3,1,38.0,3.0,21.0,2.929765556,101.685258,2.0,27.0,0,2.0,89.0,2,5,23
20/10/2015,23:15:42,3,1,2,42.0,0,1,0,8,0,3,0,0,0,0,1,1,0,24.0,3.0,19.0,2.943371984,101.7466686,2.0,27.0,0,2.0,89.0,3,5,23
20/10/2015,0:04:56,3,0,1,45.0,0,1,0,6,1,9,0,0,0,0,0,0,0,26.0,2.0,16.0,2.919387484,101.6704071,2.0,27.0,0,7.0,89.0,3,5,0
21/10/2015,2:17:42,2,0,2,30.0,0,1,0,9,0,0,1,13,1,1,3,0,0,13.0,2.0,13.0,2.92153352,101.6713196,2.0,26.0,0,0.0,94.0,3,6,2
21/10/2015,7:35:52,2,0,0,44.0,0,1,1,1,0,2,1,13,1,1,1,1,0,17.0,3.0,10.0,2.910196243,101.6711649,1.0,25.0,0,0.0,94.0,3,6,7
21/10/2015,7:58:48,0,0,1,54.0,0,1,0,9,0,2,1,0,0,1,0,0,0,53.0,0.0,14.0,2.965247798,101.6639004,3.0,25.0,0,0.0,94.0,3,6,7
21/10/2015,11:21:04,0,0,2,43.0,0,1,0,10,0,5,1,13,0,1,0,1,0,11.0,3.0,18.0,2.929160659,101.7405425,2.0,30.0,0,9.0,70.0,1,6,11
21/10/2015,11:56:35,3,1,2,32.0,0,1,0,9,0,3,1,5,0,1,1,1,1,12.0,3.0,9.0,2.954092424,101.6897865,2.0,30.0,0,9.0,70.0,3,6,11
21/10/2015,11:56:35,3,0,1,29.0,0,1,0,8,0,5,1,6,0,1,2,1,0,41.0,5.0,16.0,2.957506738,101.6430859,1.0,30.0,0,9.0,70.0,2,6,11
21/10/2015,12:01:57,0,1,2,40.0,0,1,1,9,0,9,1,0,0,1,0,2,1,49.0,0.0,21.0,2.93563453,101.6424992,3.0,31.0,0,9.0,66.0,1,6,12
21/10/2015,12:01:57,0,0,2,31.0,0,1,0,9,0,0,1,8,0,1,2,1,0,25.0,1.0,10.0,2.919485995,101.6453034,3.0,31.0,0,9.0,66.0,1,6,12
21/10/2015,12:32:17,3,0,2,31.0,0,1,0,8,0,2,0,0,0,1,2,3,0,27.0,1.0,7.0,2.92845186,101.6737553,2.0,31.0,0,9.0,66.0,3,6,12
21/10/2015,12:44:01,0,1,2,54.0,0,1,1,9,0,9,1,0,0,1,0,1,0,15.0,0.0,11.0,2.969405623,101.6598108,2.0,31.0,0,9.0,66.0,5,6,12
21/10/2015,13:04:37,3,0,2,53.0,0,1,0,8,0,10,0,0,0,1,3,3,0,60.0,2.0,21.0,2.936189794,101.7247492,1.0,32.0,0,13.0,59.0,1,6,13
21/10/2015,13:04:37,3,1,1,53.0,0,1,1,9,0,4,1,5,0,1,2,0,0,54.0,4.0,21.0,2.960194395,101.7175065,2.0,32.0,0,13.0,59.0,1,6,13
21/10/2015,14:18:47,0,0,0,45.0,0,1,0,1,0,5,0,13,0,1,0,3,1,50.0,5.0,7.0,2.923278148,101.6872035,2.0,32.0,0,15.0,59.0,2,6,14
21/10/2015,14:30:07,3,0,1,38.0,1,2,0,9,0,5,1,0,0,1,0,0,0,12.0,1.0,7.0,2.916170107,101.650825,1.0,32.0,0,15.0,59.0,1,6,14
21/10/2015,14:32:50,3,0,1,48.0,1,4,0,1,2,4,0,13,0,1,2,2,1,35.0,1.0,13.0,2.933630644,101.7161121,1.0,32.0,0,15.0,59.0,1,6,14
21/10/2015,14:51:37,0,0,2,53.0,0,1,0,0,0,9,1,6,1,1,0,2,0,45.0,1.0,19.0,2.939977736,101.7336849,1.0,32.0,0,15.0,59.0,1,6,14
21/10/2015,15:05:32,3,0,1,42.0,1,2,0,1,0,8,0,11,0,0,1,1,0,48.0,0.0,12.0,2.96126395,101.6322195,1.0,33.0,0,9.0,56.0,2,6,15
21/10/2015,16:53:36,3,0,1,53.0,0,1,1,9,0,2,1,14,1,1,1,2,0,14.0,2.0,12.0,2.942903902,101.7007535,2.0,33.0,0,15.0,56.0,3,6,16
21/10/2015,19:35:17,3,0,0,40.0,0,1,0,9,0,3,0,6,0,1,3,1,0,15.0,0.0,17.0,2.970403509,101.6312264,1.0,30.0,0,11.0,75.0,3,6,19
21/10/2015,19:35:17,3,0,1,53.0,0,1,0,9,2,8,0,11,0,1,1,0,1,26.0,5.0,16.0,2.940293857,101.6527689,2.0,30.0,0,11.0,75.0,2,6,19
21/10/2015,19:35:17,2,1,0,49.0,0,1,0,0,0,0,1,5,0,1,0,0,0,48.0,0.0,7.0,2.906898887,101.6981818,2.0,30.0,0,11.0,75.0,0,6,19
21/10/2015,21:13:41,3,1,2,52.0,0,1,0,0,2,10,0,6,0,1,3,3,0,55.0,1.0,13.0,2.957185786,101.7204164,2.0,29.0,0,4.0,74.0,1,6,21
21/10/2015,21:13:41,3,1,2,32.0,0,1,0,9,0,0,1,0,0,1,3,1,0,43.0,4.0,18.0,2.90526394,101.6767583,1.0,29.0,0,4.0,74.0,0,6,21
21/10/2015,21:13:41,0,1,1,34.0,0,1,0,1,0,10,1,12,1,1,2,2,1,50.0,3.0,13.0,2.906258654,101.6578782,1.0,29.0,0,4.0,74.0,1,6,21
21/10/2015,21:13:41,2,1,2,35.0,0,1,0,9,1,10,0,0,0,1,0,0,0,46.0,5.0,14.0,2.916636583,101.6540031,2.0,29.0,0,4.0,74.0,1,6,21
22/10/2015,7:31:47,3,0,1,49.0,0,1,0,10,2,10,0,13,0,1,1,1,0,46.0,3.0,14.0,2.926865293,101.6613881,1.0,25.0,0,2.0,89.0,3,4,7
22/10/2015,9:19:35,3,0,0,33.0,0,1,0,9,0,2,0,0,0,1,2,0,0,55.0,2.0,21.0,2.970452804,101.6702865,3.0,27.0,0,2.0,84.0,8,4,9
22/10/2015,9:19:35,3,0,1,55.0,0,1,0,1,1,5,0,0,0,1,1,1,0,58.0,1.0,9.0,2.96568898,101.6499519,3.0,27.0,0,2.0,84.0,2,4,9
22/10/2015,9:48:38,0,0,1,53.0,0,1,0,1,0,7,1,0,0,0,1,0,0,36.0,0.0,14.0,2.956566257,101.6357485,2.0,27.0,0,2.0,84.0,2,4,9
22/10/2015,10:08:57,3,1,1,55.0,0,1,0,1,0,10,1,14,0,1,0,1,1,37.0,5.0,21.0,2.935513585,101.629123,3.0,29.0,0,2.0,74.0,2,4,10
22/10/2015,10:50:38,3,0,2,49.0,0,1,0,1,0,3,0,0,0,1,2,2,0,55.0,3.0,19.0,2.959821806,101.7412559,2.0,29.0,0,2.0,74.0,4,4,10
22/10/2015,10:50:38,3,1,2,46.0,0,1,0,0,0,9,1,13,0,1,0,1,1,21.0,1.0,15.0,2.905601006,101.7392814,1.0,29.0,0,2.0,74.0,0,4,10
22/10/2015,13:14:43,1,0,1,41.0,0,1,0,9,0,10,1,13,0,1,2,3,0,56.0,2.0,16.0,2.957273201,101.6710524,2.0,33.0,0,7.0,59.0,3,4,13
22/10/2015,13:17:51,3,0,0,53.0,0,1,0,1,1,7,0,0,0,1,0,0,0,36.0,3.0,17.0,2.966717465,101.6636236,3.0,33.0,0,7.0,59.0,3,4,13
22/10/2015,13:17:51,3,1,0,41.0,0,1,0,9,0,4,1,0,0,1,0,3,0,29.0,5.0,15.0,2.93177387,101.6399451,1.0,33.0,0,7.0,59.0,1,4,13
22/10/2015,14:38:23,3,1,1,55.0,0,1,1,9,0,3,1,8,0,1,1,1,1,37.0,3.0,10.0,2.949095496,101.6319816,3.0,33.0,0,9.0,56.0,2,4,14
22/10/2015,15:10:04,3,0,1,34.0,0,1,1,9,0,9,1,11,0,1,1,0,0,20.0,2.0,15.0,2.937062467,101.7095382,3.0,33.0,0,6.0,56.0,1,4,15
22/10/2015,15:42:25,3,0,0,40.0,0,1,0,1,0,4,0,0,0,1,3,3,0,30.0,0.0,7.0,2.960587491,101.6462615,2.0,33.0,0,6.0,56.0,1,4,15
22/10/2015,18:42:40,2,1,0,44.0,0,1,0,9,0,10,1,8,1,1,2,0,0,25.0,2.0,14.0,2.955890826,101.7137964,1.0,31.0,0,13.0,66.0,1,4,18
22/10/2015,19:48:07,0,1,2,50.0,1,0,0,1,0,0,1,0,0,1,0,3,0,19.0,0.0,13.0,2.942284986,101.6978443,2.0,30.0,0,9.0,70.0,3,4,19
22/10/2015,20:23:30,1,1,1,54.0,0,1,0,1,0,0,1,0,0,1,0,0,0,23.0,4.0,16.0,2.909529395,101.6997223,1.0,29.0,0,6.0,74.0,0,4,20
22/10/2015,20:49:14,0,1,2,53.0,0,1,0,0,0,0,1,5,0,1,2,1,0,46.0,4.0,9.0,2.929831259,101.7314182,3.0,29.0,0,6.0,74.0,1,4,20
22/10/2015,22:10:13,3,1,1,32.0,0,1,0,9,0,4,1,6,1,1,0,2,0,50.0,3.0,9.0,2.925045336,101.6968892,3.0,28.0,0,0.0,79.0,2,4,22
22/10/2015,22:52:01,3,0,2,32.0,0,1,0,1,0,10,1,6,1,1,0,2,0,59.0,4.0,7.0,2.932982259,101.7324483,1.0,28.0,0,0.0,79.0,1,4,22
22/10/2015,23:18:33,2,1,0,47.0,0,1,0,9,0,2,1,0,1,1,3,0,0,15.0,2.0,17.0,2.920905791,101.6378199,1.0,28.0,3,0.0,79.0,1,4,23
23/10/2015,1:09:08,0,0,0,30.0,1,2,0,8,0,9,1,7,1,1,3,3,0,22.0,5.0,20.0,2.955510695,101.6774643,2.0,27.0,0,2.0,84.0,3,0,1
23/10/2015,1:31:55,0,1,0,53.0,0,1,0,10,0,3,1,0,0,1,0,1,1,50.0,5.0,14.0,2.944350333,101.6316005,3.0,27.0,0,2.0,84.0,2,0,1
23/10/2015,1:52:36,2,0,0,39.0,0,1,0,9,0,5,1,0,0,1,0,3,0,60.0,0.0,8.0,2.969741447,101.7326093,1.0,27.0,0,2.0,84.0,3,0,1
23/10/2015,2:48:52,3,1,0,40.0,0,1,0,0,0,2,1,8,0,1,2,0,0,22.0,3.0,14.0,2.946782315,101.6304899,3.0,27.0,0,2.0,89.0,2,0,2
23/10/2015,4:35:37,2,1,1,53.0,0,1,0,10,1,10,1,0,0,1,2,1,0,52.0,1.0,18.0,2.92958325,101.7446153,3.0,26.0,0,2.0,89.0,2,0,4
23/10/2015,7:07:53,3,0,0,52.0,1,0,0,8,0,10,1,0,0,1,2,0,1,15.0,0.0,19.0,2.950801571,101.6475723,3.0,26.0,0,0.0,89.0,1,0,7
23/10/2015,7:31:00,3,1,0,33.0,0,1,0,8,0,9,0,6,1,1,0,0,0,29.0,3.0,14.0,2.935362189,101.7431844,3.0,26.0,0,0.0,89.0,2,0,7
23/10/2015,10:27:02,0,1,2,53.0,0,1,0,8,1,10,1,0,0,1,2,2,1,44.0,2.0,15.0,2.940545969,101.6313899,1.0,30.0,0,4.0,75.0,2,0,10
23/10/2015,11:14:22,3,1,0,53.0,1,0,0,4,0,9,1,0,0,1,0,2,0,58.0,4.0,13.0,2.94649583,101.6606522,3.0,32.0,0,7.0,63.0,3,0,11
23/10/2015,11:17:03,3,0,1,53.0,1,2,0,9,1,7,1,0,0,1,1,0,0,23.0,3.0,7.0,2.91005925,101.6762791,2.0,32.0,0,7.0,63.0,3,0,11
23/10/2015,11:54:36,2,1,1,40.0,0,1,1,3,1,10,1,0,0,1,0,2,0,58.0,0.0,21.0,2.942211723,101.6304912,1.0,32.0,0,7.0,63.0,2,0,11
23/10/2015,11:59:37,3,1,1,40.0,0,1,0,9,1,10,1,8,0,1,1,3,0,53.0,1.0,8.0,2.942248354,101.6891296,3.0,32.0,0,7.0,63.0,2,0,11
23/10/2015,12:00:06,3,0,0,52.0,0,1,0,1,0,0,0,0,0,1,3,3,0,48.0,1.0,13.0,2.958675928,101.6787285,3.0,33.0,0,13.0,59.0,3,0,12
23/10/2015,12:00:06,2,1,0,44.0,0,1,0,9,0,0,1,8,0,1,1,3,0,19.0,5.0,14.0,2.941856911,101.7165176,2.0,33.0,0,13.0,59.0,1,0,12
23/10/2015,12:00:06,3,1,0,53.0,0,1,0,0,0,0,1,0,0,1,0,1,0,40.0,1.0,12.0,2.965896954,101.6735648,1.0,33.0,0,13.0,59.0,6,0,12
23/10/2015,12:01:53,3,1,2,44.0,0,1,0,9,0,0,1,12,1,1,1,1,1,34.0,2.0,18.0,2.945227113,101.7108932,2.0,33.0,0,13.0,59.0,1,0,12
23/10/2015,12:23:32,3,0,2,52.0,0,1,0,1,0,10,1,2,1,1,2,1,0,23.0,4.0,16.0,2.906171995,101.7234891,2.0,33.0,0,13.0,59.0,0,0,12
23/10/2015,12:57:44,3,0,0,39.0,0,1,0,9,0,0,1,0,0,1,3,1,0,13.0,3.0,14.0,2.929545039,101.7080012,1.0,33.0,0,13.0,59.0,1,0,12
23/10/2015,15:17:25,3,0,2,31.0,0,1,0,9,0,9,1,0,0,1,0,0,0,29.0,4.0,14.0,2.936136301,101.7118102,1.0,34.0,0,13.0,53.0,1,0,15
23/10/2015,16:06:01,3,1,2,31.0,0,1,0,9,1,5,1,8,0,1,3,2,0,54.0,4.0,14.0,2.953809283,101.6512013,1.0,34.0,0,9.0,59.0,1,0,16
23/10/2015,16:06:01,3,0,0,40.0,0,1,0,4,0,5,0,0,0,1,1,2,0,36.0,2.0,14.0,2.949461681,101.729489,2.0,34.0,0,9.0,59.0,1,0,16
23/10/2015,16:11:32,3,0,2,28.0,1,0,0,9,0,2,1,0,0,0,1,2,0,16.0,5.0,21.0,2.919622323,101.7184368,1.0,34.0,0,9.0,59.0,1,0,16
23/10/2015,16:33:34,3,0,1,41.0,0,1,0,3,2,2,0,2,0,1,1,0,1,11.0,1.0,9.0,2.94747878,101.7418065,2.0,34.0,0,9.0,59.0,2,0,16
23/10/2015,17:31:48,3,0,1,41.0,1,2,0,9,0,9,1,5,0,1,3,3,0,28.0,3.0,14.0,2.921348541,101.646776,2.0,33.0,0,11.0,63.0,1,0,17
23/10/2015,17:31:48,3,0,0,49.0,0,1,0,1,0,10,1,13,0,1,2,2,0,41.0,0.0,20.0,2.924976939,101.6590791,1.0,33.0,0,11.0,63.0,3,0,17
23/10/2015,19:47:39,0,0,2,30.0,0,1,0,9,0,4,1,0,0,1,3,0,0,25.0,5.0,15.0,2.956082645,101.7154615,2.0,30.0,2,7.0,75.0,1,0,19
23/10/2015,19:55:14,0,1,1,48.0,0,1,0,1,0,10,1,0,0,1,0,2,0,19.0,4.0,13.0,2.949987021,101.6541451,1.0,30.0,2,7.0,75.0,1,0,19
23/10/2015,20:08:58,0,0,1,34.0,0,1,0,9,0,10,1,5,0,1,2,0,0,15.0,0.0,11.0,2.963425135,101.741978,2.0,28.0,0,7.0,84.0,3,0,20
